Level	Rule Name	Subject	Property	Value
WARN	missing_xrefs	chromosome instability	oboInOwl:hasDbXref	
WARN	missing_xrefs	body posture variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	kinker	oboInOwl:hasDbXref	
WARN	missing_xrefs	constitutive egg laying	oboInOwl:hasDbXref	
WARN	missing_xrefs	hyperactive egg laying	oboInOwl:hasDbXref	
WARN	missing_xrefs	egg laying defective	oboInOwl:hasDbXref	
WARN	missing_xrefs	bag of worms	oboInOwl:hasDbXref	
WARN	missing_xrefs	anesthetic hypersensitive	oboInOwl:hasDbXref	
WARN	missing_xrefs	anesthetic resistant	oboInOwl:hasDbXref	
WARN	missing_xrefs	drug hypersensitive	oboInOwl:hasDbXref	
WARN	missing_xrefs	drug resistant	oboInOwl:hasDbXref	
WARN	missing_xrefs	dauer constitutive	oboInOwl:hasDbXref	
WARN	missing_xrefs	dauer defective	oboInOwl:hasDbXref	
WARN	missing_xrefs	cord commissures variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	positive chemotaxis defective	oboInOwl:hasDbXref	
WARN	missing_xrefs	aldicarb hypersensitive	oboInOwl:hasDbXref	
WARN	missing_xrefs	aldicarb resistant	oboInOwl:hasDbXref	
WARN	missing_xrefs	pharyngeal pumping increased	oboInOwl:hasDbXref	
WARN	missing_xrefs	pharyngeal pumping reduced	oboInOwl:hasDbXref	
WARN	missing_xrefs	pharyngeal pumping irregular	oboInOwl:hasDbXref	
WARN	missing_xrefs	squat	oboInOwl:hasDbXref	
WARN	missing_xrefs	long	oboInOwl:hasDbXref	
WARN	missing_xrefs	serotonin hypersensitive	oboInOwl:hasDbXref	
WARN	missing_xrefs	serotonin resistant	oboInOwl:hasDbXref	
WARN	missing_xrefs	blistered	oboInOwl:hasDbXref	
WARN	missing_xrefs	lipid depleted	oboInOwl:hasDbXref	
WARN	missing_xrefs	organism metabolism processing variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	RNA processing variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	systemic RNAi variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	growth variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	slow growth	oboInOwl:hasDbXref	
WARN	missing_xrefs	sick	oboInOwl:hasDbXref	
WARN	missing_xrefs	developmental timing variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	embryonic polarity variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	larval body morphology variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	adult body morphology variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	egg morphology variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	exploded through vulva	oboInOwl:hasDbXref	
WARN	missing_xrefs	life span phenotype	oboInOwl:hasDbXref	
WARN	missing_xrefs	one cell arrest early emb	oboInOwl:hasDbXref	
WARN	missing_xrefs	osmotic integrity variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	slow embryonic development	oboInOwl:hasDbXref	
WARN	missing_xrefs	general pace of development variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	egg size defective early emb	oboInOwl:hasDbXref	
WARN	missing_xrefs	developmental delay postembryonic	oboInOwl:hasDbXref	
WARN	missing_xrefs	pace of P lineage defective early emb	oboInOwl:hasDbXref	
WARN	missing_xrefs	gastrulation variant	oboInOwl:hasDbXref	
WARN	missing_xrefs	hatching variant	oboInOwl:hasDbXref	
